,address,name_x,distance_sch,name_y,distance_hawker,name_x,distance_cbd,name_y,distance_mrt
3759,220A BEDOK CTRL,BEDOK GREEN PRIMARY SCHOOL,0.4412382992126937 km,460216,0.216074472479214 km,city hall mrt,9.8200638360548 km,BEDOK MRT STATION,0.5504003969246626 km
3760,37 LOR 5 TOA PAYOH,PEI CHUN PUBLIC SCHOOL,0.3169914539587837 km,310022,0.15374931267341443 km,city hall mrt,4.613647881725777 km,TOA PAYOH MRT STATION,0.9599802009500367 km
3761,258 SERANGOON CTRL DR,PEICAI SECONDARY SCHOOL,0.5666860241810825 km,555945,1.109488613172034 km,city hall mrt,7.236612858018147 km,SERANGOON MRT STATION,0.5072929569456655 km
3762,63 JLN MA'MOR,BENDEMEER SECONDARY SCHOOL,0.5844363116253736 km,320090,0.6678690726731079 km,city hall mrt,3.9768039867855616 km,BOON KENG MRT STATION,1.1160231973891137 km
3763,688C CHOA CHU KANG CRES,UNITY PRIMARY SCHOOL,0.4653649197375544 km,738937,4.482857199872481 km,city hall mrt,16.626871057134814 km,YEW TEE MRT STATION,0.7400478544540553 km
3764,470C UPP SERANGOON CRES,NORTH VISTA SECONDARY SCHOOL,0.34513129348906196 km,530209,2.699580035332257 km,city hall mrt,10.873841900168799 km,KANGKAR LRT STATION,0.6277252628216342 km
3765,333 ANG MO KIO AVE 1,TOWNSVILLE PRIMARY SCHOOL,0.277550101873291 km,560409,0.4341002456849026 km,city hall mrt,7.564610373852619 km,ANG MO KIO MRT STATION,0.9794454246192961 km
3766,773 PASIR RIS ST 71,MERIDIAN PRIMARY SCHOOL,0.18239816825875846 km,521137,3.3804289882372425 km,city hall mrt,12.993294948590332 km,PASIR RIS MRT STATION,1.4473040275893712 km
3767,12 HOLLAND AVE,NEW TOWN PRIMARY SCHOOL,1.2213345969656433 km,277700,0.1902031694344432 km,city hall mrt,6.674434411663116 km,HOLLAND VILLAGE MRT STATION,0.3117219923983854 km
3768,331 TAMPINES ST 32,EAST SPRING PRIMARY SCHOOL,0.22288367445914545 km,521137,1.9040283984347768 km,city hall mrt,13.673854501809465 km,TAMPINES EAST MRT STATION,0.6570163168304874 km
3769,765 JURONG WEST ST 74,WESTWOOD PRIMARY SCHOOL,0.3992048376658073 km,642221,1.7020009997622174 km,city hall mrt,18.286366977035506 km,PIONEER MRT STATION,1.3864758406194306 km
3770,490B CHOA CHU KANG AVE 5,CHUA CHU KANG PRIMARY SCHOOL,0.2424330048200079 km,600347,3.508049804416254 km,city hall mrt,15.390551968437755 km,SOUTH VIEW LRT STATION,0.6805065079696706 km
3771,258A COMPASSVALE RD,COMPASSVALE PRIMARY SCHOOL,0.1944152139551508 km,530209,3.9334394144425144 km,city hall mrt,12.108055464852503 km,SENGKANG MRT STATION,0.21191497340476115 km
3772,364 WOODLANDS AVE 5,SI LING PRIMARY SCHOOL,0.20072990283104836 km,730021,1.5127650318837775 km,city hall mrt,17.241315479299757 km,WOODLANDS MRT STATION,0.2573168214506785 km
3773,104 WOODLANDS ST 13,MARSILING SECONDARY SCHOOL,0.6200334313115299 km,730021,0.9484109845876195 km,city hall mrt,17.72930172066128 km,WOODLANDS MRT STATION,0.5497244250995493 km
3774,147 MEI LING ST,QUEENSTOWN PRIMARY SCHOOL,0.3236136368062786 km,140159,0.2554037509906533 km,city hall mrt,5.305643730346967 km,QUEENSTOWN MRT STATION,0.1225298681363716 km
3775,446 PASIR RIS DR 6,CASUARINA PRIMARY SCHOOL,0.24525905302092782 km,521137,3.1107126340937925 km,city hall mrt,14.480919285524655 km,PASIR RIS MRT STATION,0.9730606586590472 km
3776,168A PUNGGOL EAST,GREENDALE PRIMARY SCHOOL,0.29784100165966715 km,530209,5.025024599734826 km,city hall mrt,13.168906174414085 km,CORAL EDGE LRT STATION,0.20165604364833073 km
3777,960 HOUGANG AVE 9,HOUGANG PRIMARY SCHOOL,0.26032431209555634 km,557269,1.9482011278084312 km,city hall mrt,9.742667273445827 km,TONGKANG LRT STATION,1.581694848842777 km
3778,768 YISHUN AVE 3,YISHUN INNOVA JUNIOR COLLEGE,0.4350899365359287 km,760105,1.0402454756869273 km,city hall mrt,14.679676790961622 km,YISHUN MRT STATION,0.5742400842197587 km
3779,204 CHOA CHU KANG AVE 1,SOUTH VIEW PRIMARY SCHOOL,0.3423569000508378 km,600254,4.318381491317097 km,city hall mrt,15.056057556537773 km,KEAT HONG LRT STATION,0.24254269218286423 km
3780,171 BT BATOK WEST AVE 8,BUKIT BATOK SECONDARY SCHOOL,0.2739182639019493 km,600254,0.40035489622341397 km,city hall mrt,13.817023750001264 km,CHINESE GARDEN MRT STATION,0.9423672058083823 km
3781,274 YISHUN ST 22,CHONGFU SCHOOL,0.10785181454146096 km,760105,1.3715658172557768 km,city hall mrt,16.051444660579733 km,YISHUN MRT STATION,0.993598843937199 km
3782,122E RIVERVALE DR,NORTH SPRING PRIMARY SCHOOL,0.31104588705637676 km,530209,3.8790462114443582 km,city hall mrt,12.063819922887955 km,BAKAU LRT STATION,0.050595878547186154 km
3783,99A LOR 2 TOA PAYOH,KHENG CHENG SCHOOL,0.1629281411033812 km,310127,0.2516997686613901 km,city hall mrt,5.109411375724581 km,BRADDELL MRT STATION,0.18667330066493337 km
3784,55 PIPIT RD,CANOSSA CATHOLIC PRIMARY SCHOOL,0.7561317058958624 km,370089,0.32761805114939335 km,city hall mrt,5.240983608805105 km,MACPHERSON MRT STATION,0.2796236342572295 km
3785,472 SEGAR RD,BEACON PRIMARY SCHOOL,0.4536460453087309 km,588215,5.371915438813443 km,city hall mrt,13.768765616550157 km,SEGAR LRT STATION,0.3292534090052995 km
3786,662 BUFFALO RD,ST. MARGARET'S PRIMARY SCHOOL,0.5107531418480713 km,210665,0.056190419534535595 km,city hall mrt,1.4891579156991357 km,ROCHOR MRT STATION,0.08661357860968284 km
3787,889A TAMPINES ST 81,SPRINGFIELD SECONDARY SCHOOL,0.11831947367134196 km,521137,1.537983790679451 km,city hall mrt,10.767915360733767 km,TAMPINES WEST MRT STATION,0.8906056620444198 km
3788,96A HENDERSON RD,GAN ENG SENG SCHOOL,0.23205615000798213 km,151115,0.27505111958220135 km,city hall mrt,3.4533978441703157 km,REDHILL MRT STATION,0.5964752752298365 km
3789,313A ANCHORVALE RD,ANCHOR GREEN PRIMARY SCHOOL,0.14007963060138715 km,530209,3.597564447723725 km,city hall mrt,11.580211452265903 km,TONGKANG LRT STATION,0.3108696634521658 km
3790,230 TAMPINES ST 24,GONGSHANG PRIMARY SCHOOL,0.429103020579294 km,521137,1.4762212056635353 km,city hall mrt,13.14440109700581 km,TAMPINES EAST MRT STATION,0.2082957674179622 km
3791,57 NEW UPP CHANGI RD,BEDOK VIEW SECONDARY SCHOOL,0.24587196354003135 km,461058,0.0495954843265189 km,city hall mrt,10.490683016213806 km,TANAH MERAH MRT STATION,0.6204340001588442 km
3792,153 GANGSA RD,FAJAR SECONDARY SCHOOL,0.1828579909598803 km,588215,4.097364951021362 km,city hall mrt,13.272997137207614 km,PETIR LRT STATION,0.3336168563674325 km
3793,95 HAVELOCK RD,OUTRAM SECONDARY SCHOOL,0.5233089049296836 km,162022,0.39596738142402976 km,city hall mrt,2.2513164624912623 km,TIONG BAHRU MRT STATION,0.6958767706842768 km
3794,602 BEDOK RESERVOIR RD,TELOK KURAU PRIMARY SCHOOL,0.20106151083459542 km,470630,0.4770153144158856 km,city hall mrt,7.70206018650023 km,KAKI BUKIT MRT STATION,0.7129978956201509 km
3795,121 HOUGANG AVE 1,METHODIST GIRLS' SCHOOL (SECONDARY),0.3784182043854726 km,530105,0.35628953600820995 km,city hall mrt,7.745781885937233 km,KOVAN MRT STATION,0.7295293469882526 km
3796,211B COMPASSVALE LANE,SENG KANG SECONDARY SCHOOL,0.17198557926205804 km,530209,3.203009150872764 km,city hall mrt,11.41081259570128 km,RANGGUNG LRT STATION,0.19771124849220675 km
3797,21 TELOK BLANGAH CRES,CHIJ ST. THERESA'S CONVENT,0.22256692397874098 km,90011,0.2628539419475705 km,city hall mrt,3.9608033647732666 km,HARBOURFRONT MRT STATION,1.2354026943258392 km
3798,406 ANG MO KIO AVE 10,TOWNSVILLE PRIMARY SCHOOL,0.2181252401285026 km,560409,0.18187892682440665 km,city hall mrt,7.63852334091251 km,ANG MO KIO MRT STATION,1.0002190239027458 km
3799,470 SEGAR RD,BEACON PRIMARY SCHOOL,0.4956419018839563 km,588215,5.422790562624864 km,city hall mrt,13.761977302280735 km,SEGAR LRT STATION,0.4120141285686667 km
3800,96 ALJUNIED CRES,GEYLANG METHODIST SCHOOL (PRIMARY),0.4825837479656472 km,380117,0.21027043633947973 km,city hall mrt,4.841552800327196 km,MATTAR MRT STATION,0.6265381683389692 km
3801,97 BEDOK NTH AVE 4,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,0.24063489539402616 km,460085,0.17015133334944338 km,city hall mrt,10.684187569073098 km,BEDOK RESERVOIR MRT STATION,0.952372698792817 km
3802,98 BEDOK NTH AVE 4,ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,0.16417360180202104 km,460085,0.2738993773988325 km,city hall mrt,10.730967179493407 km,BEDOK RESERVOIR MRT STATION,0.8893763689377048 km
3803,675A JURONG WEST ST 64,BOON LAY SECONDARY SCHOOL,0.34644461593428083 km,642221,1.0698058686339758 km,city hall mrt,17.581331616362352 km,BOON LAY MRT STATION,0.8092977310610437 km
3804,989C JURONG WEST ST 93,FRONTIER PRIMARY SCHOOL,0.5115957173640515 km,642221,2.2786022928523932 km,city hall mrt,18.15138290245343 km,PIONEER MRT STATION,0.31567511332716724 km
3805,245 BISHAN ST 22,EUNOIA JUNIOR COLLEGE,0.3583323960314764 km,560341,0.5991987044459316 km,city hall mrt,7.514325241427067 km,BISHAN MRT STATION,1.1485171833795644 km
3806,722 YISHUN ST 71,YISHUN INNOVA JUNIOR COLLEGE,0.19169384319554764 km,760105,0.6765971419008947 km,city hall mrt,14.90920412908136 km,YISHUN MRT STATION,0.7864097047505367 km
3807,428 HOUGANG AVE 6,PUNGGOL PRIMARY SCHOOL,0.339517960816851 km,530209,1.933175591127315 km,city hall mrt,10.139736673701307 km,HOUGANG MRT STATION,0.42121707438531697 km
3808,860 YISHUN AVE 4,NAVAL BASE PRIMARY SCHOOL,0.2049979339374917 km,760105,2.0169007831295542 km,city hall mrt,13.881734048003333 km,KHATIB MRT STATION,0.7665700813879666 km
3809,115A YISHUN RING RD,AHMAD IBRAHIM SECONDARY SCHOOL,0.3899352811269127 km,760105,0.18898396983936022 km,city hall mrt,15.771355084375424 km,YISHUN MRT STATION,0.937093608829074 km
3810,33 MARINE CRES,TAO NAN SCHOOL,0.2998664813489762 km,441050,0.5218567433289389 km,city hall mrt,6.7192403685970366 km,KEMBANGAN MRT STATION,2.0350748203625626 km
3811,496E TAMPINES AVE 9,TAMPINES NORTH PRIMARY SCHOOL,0.13999633713441714 km,521137,1.8349465965907261 km,city hall mrt,13.187737839694455 km,TAMPINES EAST MRT STATION,0.7636907976601403 km
3812,269 YISHUN ST 22,NORTHLAND SECONDARY SCHOOL,0.14846496577679613 km,760105,1.4849938691697695 km,city hall mrt,16.001887542519935 km,YISHUN MRT STATION,1.0357129657510193 km
3813,18B CIRCUIT RD,CANOSSA CATHOLIC PRIMARY SCHOOL,0.7263661065319157 km,370080,0.19606321152553216 km,city hall mrt,5.640410366102165 km,MACPHERSON MRT STATION,0.36394267103828615 km
3814,825 WOODLANDS ST 81,RIVERSIDE SECONDARY SCHOOL,0.28869629255463347 km,730021,1.4843991572055935 km,city hall mrt,17.589787192885726 km,WOODLANDS MRT STATION,0.3562353781188635 km
3815,159 PASIR RIS ST 13,WHITE SANDS PRIMARY SCHOOL,0.20457549217414026 km,521137,2.74988670282612 km,city hall mrt,14.409751700719692 km,TAMPINES EAST MRT STATION,1.118379073518162 km
3816,467A FERNVALE LINK,FERN GREEN PRIMARY SCHOOL,0.22271264017382084 km,560527,3.8608137729536227 km,city hall mrt,11.967121412880255 km,KUPANG LRT STATION,0.31074700923002335 km
3817,676B PUNGGOL DR,OASIS PRIMARY SCHOOL,0.095998959214283 km,530209,5.729938333252457 km,city hall mrt,13.937398188360225 km,DAMAI LRT STATION,0.19461340658826268 km
3818,702 YISHUN AVE 5,YISHUN SECONDARY SCHOOL,0.20178349609518184 km,760105,0.25873941441329773 km,city hall mrt,15.35246047884586 km,YISHUN MRT STATION,0.61759081065934 km
3819,518 BEDOK NTH AVE 2,FENGSHAN PRIMARY SCHOOL,0.39811068443739484 km,460511,0.31479686782265986 km,city hall mrt,9.451924871022175 km,BEDOK RESERVOIR MRT STATION,0.7169985906592148 km
3820,932 JURONG WEST ST 92,XINGNAN PRIMARY SCHOOL,0.11853010800715368 km,642221,2.7521669876244235 km,city hall mrt,19.02464935529057 km,PIONEER MRT STATION,1.0716102289860552 km
3821,17 TIONG BAHRU RD,OUTRAM SECONDARY SCHOOL,0.4573077982186766 km,168898,0.1285924971934152 km,city hall mrt,2.3130688055346273 km,TIONG BAHRU MRT STATION,0.6813584293851661 km
3822,858 WOODLANDS ST 83,EVERGREEN SECONDARY SCHOOL,0.13665820341878035 km,730021,1.958473574329657 km,city hall mrt,17.531630676300537 km,ADMIRALTY MRT STATION,0.7288209723696736 km
3823,420 CLEMENTI AVE 1,NAN HUA HIGH SCHOOL,0.22454209928383909 km,120353,0.5138398417626009 km,city hall mrt,9.479231154781033 km,CLEMENTI MRT STATION,0.6885902823408379 km
3824,272 YISHUN ST 22,CHONGFU SCHOOL,0.04958471450703351 km,760105,1.464017082383744 km,city hall mrt,16.115659164047937 km,YISHUN MRT STATION,1.0872732075312237 km
3825,144 LOR AH SOO,METHODIST GIRLS' SCHOOL (SECONDARY),0.22996772219473388 km,530105,0.7935719020514153 km,city hall mrt,7.369819631457542 km,KOVAN MRT STATION,0.9273058706057484 km
3826,540 BT BATOK ST 52,HILLGROVE SECONDARY SCHOOL,0.26281453990638143 km,600254,1.933184257370831 km,city hall mrt,13.16216637625686 km,BUKIT GOMBAK MRT STATION,0.48644984342159736 km
3827,502 BEDOK NTH ST 3,FENGSHAN PRIMARY SCHOOL,0.1673633030785702 km,460511,0.2304916520785461 km,city hall mrt,9.724974228049483 km,BEDOK RESERVOIR MRT STATION,0.6026023041884536 km
3828,684A WOODLANDS DR 73,GREENWOOD PRIMARY SCHOOL,0.14407950598515468 km,760105,2.759597263498041 km,city hall mrt,17.21600459424519 km,ADMIRALTY MRT STATION,0.46574873881373774 km
3829,540 BEDOK NTH ST 3,PING YI SECONDARY SCHOOL,0.48045325571742087 km,460538,0.29990459337576236 km,city hall mrt,8.813220574259127 km,BEDOK NORTH MRT STATION,0.609547088603012 km
3830,643 ANG MO KIO AVE 5,YIO CHU KANG SECONDARY SCHOOL,0.18332125998056376 km,560628,0.38503056965747867 km,city hall mrt,9.44659425730087 km,YIO CHU KANG MRT STATION,0.6776058774918241 km
3831,911 HOUGANG ST 91,HOUGANG SECONDARY SCHOOL,0.20556980630621052 km,530209,2.208904582797496 km,city hall mrt,10.12633981150085 km,BUANGKOK MRT STATION,1.1175245219618093 km
3832,932A HOUGANG AVE 9,HOUGANG PRIMARY SCHOOL,0.2566439950844864 km,530209,1.8523076554072604 km,city hall mrt,9.664832991200825 km,HOUGANG MRT STATION,1.2601271553196314 km
3833,351 UBI AVE 1,MANJUSRI SECONDARY SCHOOL,0.24569757019283872 km,402004,0.6922009962807487 km,city hall mrt,6.454431440086324 km,UBI MRT STATION,0.521504717860904 km
3834,767 WOODLANDS CIRCLE,EVERGREEN PRIMARY SCHOOL,0.40320475517372034 km,730021,2.2828788674409126 km,city hall mrt,18.01598450426367 km,ADMIRALTY MRT STATION,0.7253563268427706 km
3835,136 BISHAN ST 12,GUANGYANG SECONDARY SCHOOL,0.17312239697989976 km,310210,0.5560603940803037 km,city hall mrt,5.661928613665305 km,BRADDELL MRT STATION,0.6833865811133127 km
3836,590B MONTREAL LINK,WELLINGTON PRIMARY SCHOOL,0.5675657144372467 km,760105,2.034364483471838 km,city hall mrt,17.607323162545622 km,SEMBAWANG MRT STATION,0.7892078634027289 km
3837,564 ANG MO KIO AVE 3,JING SHAN PRIMARY SCHOOL,0.851145866149315 km,561453,0.38205734822583914 km,city hall mrt,8.538283759267815 km,ANG MO KIO MRT STATION,1.0962961221332066 km
3838,359 CLEMENTI AVE 2,PEI TONG PRIMARY SCHOOL,0.39043377327278456 km,120353,0.1437740169709436 km,city hall mrt,9.483605030668143 km,CLEMENTI MRT STATION,0.530261940151731 km
3839,272C SENGKANG CTRL,PALM VIEW PRIMARY SCHOOL,0.2800738597746987 km,530209,2.9163185206134004 km,city hall mrt,11.093244754524722 km,BUANGKOK MRT STATION,0.17370415062768085 km
3840,202 BOON LAY DR,BOON LAY GARDEN PRIMARY SCHOOL,0.21260518846537674 km,642221,0.31336181932224727 km,city hall mrt,16.301779787310615 km,LAKESIDE MRT STATION,0.6571842478870231 km
3841,40 JLN RUMAH TINGGI,BUKIT MERAH SECONDARY SCHOOL,0.4584375397733695 km,150006,0.33012197080539935 km,city hall mrt,4.704049697691825 km,REDHILL MRT STATION,0.7071279174257784 km
3842,846 TAMPINES ST 82,JUNYUAN SECONDARY SCHOOL,0.278064226357907 km,521137,1.2253189683587113 km,city hall mrt,11.353418292354803 km,TAMPINES WEST MRT STATION,0.7847681484024549 km
3843,152 YUNG HO RD,JURONG SECONDARY SCHOOL,0.48611566916903093 km,618499,0.8471116894107497 km,city hall mrt,15.154380444677015 km,LAKESIDE MRT STATION,1.9001978540812894 km
3844,677B PUNGGOL DR,OASIS PRIMARY SCHOOL,0.19715972303548068 km,530209,5.7446829436583675 km,city hall mrt,13.952736330188673 km,DAMAI LRT STATION,0.10427648999182375 km
3845,290C BT BATOK EAST AVE 3,KEMING PRIMARY SCHOOL,0.18315371476528952 km,588215,2.1469664550998693 km,city hall mrt,12.021280665749785 km,BUKIT BATOK MRT STATION,1.014738475015636 km
3846,661A EDGEDALE PLAINS,WATERWAY PRIMARY SCHOOL,0.4953265432442736 km,530209,5.961138095435014 km,city hall mrt,14.132045757574346 km,KADALOOR LRT STATION,0.3871832390573189 km
3847,305 BT BATOK ST 31,DAZHONG PRIMARY SCHOOL,0.15761565804740393 km,600254,1.9527823171675476 km,city hall mrt,13.681426378456141 km,BUKIT GOMBAK MRT STATION,0.4541961175170998 km
3848,524C PASIR RIS ST 51,MERIDIAN SECONDARY SCHOOL,0.3956490382871923 km,521137,2.802863607694845 km,city hall mrt,13.617722052771658 km,PASIR RIS MRT STATION,0.32561133421572186 km
3849,302B PUNGGOL PL,PUNGGOL VIEW PRIMARY SCHOOL,0.09477927177104888 km,530209,5.424463589236285 km,city hall mrt,13.622921435642501 km,PUNGGOL LRT STATION,0.2813052642329745 km
3850,303C PUNGGOL CTRL,PUNGGOL VIEW PRIMARY SCHOOL,0.12199756637298291 km,530209,5.413986234256135 km,city hall mrt,13.615290160728998 km,PUNGGOL LRT STATION,0.3475246566247749 km
3851,84 WHAMPOA DR,HONG WEN SCHOOL,0.17168856098599425 km,320090,0.22654052891031884 km,city hall mrt,3.381612997612329 km,BOON KENG MRT STATION,0.6663117559752119 km
3852,108 YISHUN RING RD,AHMAD IBRAHIM SECONDARY SCHOOL,0.41935249510694494 km,760105,0.12584582107722844 km,city hall mrt,15.633247918470964 km,YISHUN MRT STATION,0.7330165902304485 km
3853,154 MEI LING ST,QUEENSTOWN PRIMARY SCHOOL,0.47675508791690735 km,140159,0.10229798429391466 km,city hall mrt,5.436325354192189 km,QUEENSTOWN MRT STATION,0.2759889067990806 km
3854,128A PUNGGOL FIELD WALK,GREENDALE PRIMARY SCHOOL,0.3252236130812092 km,530209,4.809587247642047 km,city hall mrt,12.965610584126175 km,CORAL EDGE LRT STATION,0.043038813451452794 km
3855,206 YISHUN ST 21,YISHUN TOWN SECONDARY SCHOOL,0.18857629621672284 km,760105,0.966110339022765 km,city hall mrt,15.393841487160575 km,YISHUN MRT STATION,0.2805560949384377 km
3856,440C CLEMENTI AVE 3,CLEMENTI PRIMARY SCHOOL,0.1946273020704949 km,120448,0.3721482649875836 km,city hall mrt,10.208118964205212 km,CLEMENTI MRT STATION,0.24115378986664562 km
3857,841 JURONG WEST ST 81,PIONEER PRIMARY SCHOOL,0.5315680099921167 km,642221,2.2558260031416397 km,city hall mrt,18.67206162732188 km,PIONEER MRT STATION,0.919952882954304 km
3858,268D PUNGGOL FIELD,PUNGGOL GREEN PRIMARY SCHOOL,0.16683213897231006 km,530209,5.078774946405078 km,city hall mrt,13.225348038964558 km,SOO TECK LRT STATION,0.235423491984067 km
3859,706 BEDOK NTH RD,DAMAI PRIMARY SCHOOL,0.2639889397266717 km,470630,0.6577587436101715 km,city hall mrt,8.806310834997577 km,BEDOK NORTH MRT STATION,0.20046725938428198 km
3860,212 TAMPINES ST 23,NGEE ANN SECONDARY SCHOOL,0.26072999167572225 km,521137,1.4789440086801848 km,city hall mrt,13.21525270503459 km,TAMPINES EAST MRT STATION,0.19553235858432186 km
3861,878A TAMPINES AVE 8,SPRINGFIELD SECONDARY SCHOOL,0.2442526337307297 km,521137,1.8067335519146424 km,city hall mrt,10.757200985215679 km,TAMPINES WEST MRT STATION,1.1887177189029814 km
3862,545 JURONG WEST ST 42,RULANG PRIMARY SCHOOL,0.7103565029559566 km,640505,0.45976753654397357 km,city hall mrt,16.633963081550593 km,LAKESIDE MRT STATION,1.0935380126039742 km
3863,197 BISHAN ST 13,GUANGYANG PRIMARY SCHOOL,0.40229514324642673 km,310210,1.0861869274583205 km,city hall mrt,6.213881445510834 km,BISHAN MRT STATION,0.2995726713804945 km
3864,278A COMPASSVALE BOW,PALM VIEW PRIMARY SCHOOL,0.23978445586388253 km,530209,2.5645595072622553 km,city hall mrt,10.692954046157647 km,BUANGKOK MRT STATION,0.33144842469483804 km
3865,978 JURONG WEST ST 93,JURONG WEST PRIMARY SCHOOL,0.547102201635418 km,642221,2.1912874119504897 km,city hall mrt,18.408886348558834 km,PIONEER MRT STATION,0.4895989267816924 km
3866,126D EDGEDALE PLAINS,MEE TOH SCHOOL,0.28173946612189227 km,530209,4.734672345208729 km,city hall mrt,12.906712183958698 km,CORAL EDGE LRT STATION,0.17592450742769244 km
3867,246 PASIR RIS ST 21,PASIR RIS PRIMARY SCHOOL,0.1500926694336204 km,521137,3.4688280345349787 km,city hall mrt,14.974007452024193 km,PASIR RIS MRT STATION,1.4856701529651164 km
3868,766 YISHUN AVE 3,YISHUN INNOVA JUNIOR COLLEGE,0.43867507270185396 km,760105,1.0117218247809157 km,city hall mrt,14.716843311538195 km,YISHUN MRT STATION,0.5371806076502199 km
3869,301D ANCHORVALE DR,NAN CHIAU HIGH SCHOOL,0.15070594192749953 km,530209,3.2943637316424415 km,city hall mrt,11.401881799893989 km,RENJONG LRT STATION,0.2051370522260522 km
3870,223B COMPASSVALE WALK,SENG KANG SECONDARY SCHOOL,0.20036363876872113 km,530209,3.4761630518030566 km,city hall mrt,11.67430460918868 km,SENGKANG LRT STATION,0.44598022301544266 km
3871,174 BT BATOK WEST AVE 8,BUKIT BATOK SECONDARY SCHOOL,0.31422114410561014 km,600254,0.4393517695368606 km,city hall mrt,13.71368070444926 km,CHINESE GARDEN MRT STATION,1.0060145379081373 km
3872,875 TAMPINES ST 84,JUNYUAN SECONDARY SCHOOL,0.23299030519324515 km,521137,1.620835393137425 km,city hall mrt,11.035033660539922 km,TAMPINES WEST MRT STATION,1.065877957909551 km
3873,722 TAMPINES ST 72,POI CHING SCHOOL,0.25704774425355936 km,521137,1.878842689820861 km,city hall mrt,11.861735779668365 km,TAMPINES MRT STATION,0.9593068044263916 km
3874,161 HOUGANG ST 11,METHODIST GIRLS' SCHOOL (SECONDARY),0.7350077797890227 km,530209,1.092424176376125 km,city hall mrt,7.20293466459619 km,SERANGOON MRT STATION,0.6519519377704021 km
3875,423 PASIR RIS DR 6,CASUARINA PRIMARY SCHOOL,0.35525256376438835 km,521137,2.9653318731797302 km,city hall mrt,14.222840485286712 km,PASIR RIS MRT STATION,0.6918430882815759 km
3876,984B BUANGKOK LINK,HOUGANG PRIMARY SCHOOL,0.5215317285569882 km,557269,2.52159581289892 km,city hall mrt,10.340320721191652 km,TONGKANG LRT STATION,0.9900218943225951 km
3877,316 UBI AVE 1,MAHA BODHI SCHOOL,0.17009121932156399 km,402004,1.0031622203377566 km,city hall mrt,6.864805482752621 km,UBI MRT STATION,0.38422038352651333 km
3878,570B WOODLANDS AVE 1,WOODGROVE PRIMARY SCHOOL,0.22613172055983494 km,730021,2.0409046990876316 km,city hall mrt,16.765657892177575 km,WOODLANDS SOUTH MRT STATION,0.5664353528570474 km
3879,191 PASIR RIS ST 12,LOYANG VIEW SECONDARY SCHOOL,0.20687094876435716 km,521137,2.7746388295050672 km,city hall mrt,14.315510975940944 km,TAMPINES EAST MRT STATION,1.1847897995135617 km
3880,425 CANBERRA RD,ENDEAVOUR PRIMARY SCHOOL,0.14323287197861026 km,760105,2.716808190923847 km,city hall mrt,18.245896021918302 km,SEMBAWANG MRT STATION,0.6085984588921437 km
3881,436 WOODLANDS ST 41,FUCHUN SECONDARY SCHOOL,0.5461214723554805 km,738937,1.4850395004482606 km,city hall mrt,17.125816288405996 km,MARSILING MRT STATION,0.6579757712021949 km
3882,558 HOUGANG ST 51,PALM VIEW PRIMARY SCHOOL,0.40319516003920364 km,530209,2.403156556226478 km,city hall mrt,10.52863073870931 km,BUANGKOK MRT STATION,0.4559585525861508 km
3883,102 HOUGANG AVE 1,YUYING SECONDARY SCHOOL,0.2511051064991787 km,530105,0.12652736494332506 km,city hall mrt,8.073477962251344 km,KOVAN MRT STATION,0.865912585777882 km
3884,701 PASIR RIS DR 10,PARK VIEW PRIMARY SCHOOL,0.33734059210217776 km,521137,3.8969936000841883 km,city hall mrt,13.521173703326847 km,PASIR RIS MRT STATION,1.4758786403499278 km
3885,240 COMPASSVALE WALK,SENG KANG PRIMARY SCHOOL,0.24544487192455192 km,530209,3.743306089913017 km,city hall mrt,11.935897983080386 km,SENGKANG MRT STATION,0.295112565634717 km
3886,52 CASSIA CRES,KONG HWA SCHOOL,0.3712580900735842 km,390051,0.28125503303661303 km,city hall mrt,4.109130202818114 km,DAKOTA MRT STATION,0.47546611439862096 km
3887,606 ANG MO KIO AVE 5,MAYFLOWER PRIMARY SCHOOL,0.36673317182404813 km,560628,0.470418323631834 km,city hall mrt,9.714164512154865 km,YIO CHU KANG MRT STATION,0.9520788354041585 km
3888,70B TELOK BLANGAH HTS,BLANGAH RISE PRIMARY SCHOOL,0.22397455050958592 km,100082,0.43165088392636214 km,city hall mrt,5.009812312820164 km,TELOK BLANGAH MRT STATION,0.668796040404012 km
3889,117 BISHAN ST 12,GUANGYANG PRIMARY SCHOOL,0.15831777210505815 km,310210,0.9280431652935991 km,city hall mrt,5.986956612924409 km,BISHAN MRT STATION,0.4699036651162041 km
3890,691 HOUGANG ST 61,YIO CHU KANG PRIMARY SCHOOL,0.1665952481453857 km,530209,1.950566836698516 km,city hall mrt,10.0046297151172 km,HOUGANG MRT STATION,0.8840379978619949 km
3891,663B JURONG WEST ST 65,FRONTIER PRIMARY SCHOOL,0.28446175324580725 km,642221,1.5296667769079066 km,city hall mrt,17.53033409953901 km,PIONEER MRT STATION,0.4761933867136449 km
3892,498 JURONG WEST ST 41,YUHUA SECONDARY SCHOOL,0.2204432859369769 km,640505,0.6687770517864496 km,city hall mrt,15.534753126084402 km,LAKESIDE MRT STATION,0.583134550375503 km
3893,641 ROWELL RD,STAMFORD PRIMARY SCHOOL,0.5798748699226761 km,208877,0.21369014710040565 km,city hall mrt,1.7072022962707767 km,JALAN BESAR MRT STATION,0.3068113832358008 km
